,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOGKEaLncVVlQyMSo8dcLpCSpsRNcaf9N7O5U2xSe3ShWQN9b_ABv2tILs7lkGZl84z6IYB-219-PBEzZIQ,Rachel Liu,https://play-lh.googleusercontent.com/a-/AOh14GiupO3E9z_BIOv7V00HDp9_Mr93qxP2lhGz7n5cmQ,"This app is amazing, it Help me a lot while doing my assignment and there's an explanation for each question which makes understand so fast. Because in this app the explanation isn't complicated they make it simple and a lot more easier to slove the question.",5,33,3.100.13,2021-03-19 14:11:06,"Hi, Rachel. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0817-2352-357 We would love to hear from you. Have a nice day! :)",2021-03-20 03:15:21
1,gp:AOqpTOGhCSiIrK7kmkIple6iP-lmHRaINL3L-8IZF9D85mUWbjpAwLnVn-NssR0xqdx78kY3Qj6nrPDURMQNjo0,Zaskia Pramudita Larasati,https://play-lh.googleusercontent.com/a-/AOh14GhxaIdgUL2FHbYsU6hLMuesNdDv3N8dkZTMY_ua,"This application really helps me understand the material, especially in the midst of a pandemic like now",5,13,3.100.23,2021-05-02 08:50:11,"Hi, Zaskia. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0812-9898-9634 We would love to hear from you. Have a nice day! :)",2021-05-03 01:54:30
2,gp:AOqpTOGj8Cr4ofVcQuU2JfjgeW30cRuucsRBEfZMcCq9PAhJ0PN9k4GLHhUJKYWq3E3CPkmbhwQrxVK1TpreAjE,Maria Ulfah,https://play-lh.googleusercontent.com/a-/AOh14GimYDfdwmnV9NYNKyTjRdP2BBg74Es0TY6L8jDtwA,My friend recommended this app to me and yeah it's help a lot when I hv a headache coz online school that make me hard to understand the tasks than offline,5,14,3.100.13,2021-03-11 04:59:13,"Hi, Maria. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0817-2352-357 We would love to hear from you. Have a nice day! :)",2021-03-12 08:57:56
3,gp:AOqpTOFpgr0DEhKDgK7SUp4lECIq1z17mwqG9DMntDmHMIT0NJhe1RVcsf4X3thzWu4HYpfRlQ8eBPFstVwkOk4,Gracia Audrey,https://play-lh.googleusercontent.com/a-/AOh14GhqtNiYAvdiLq_t3dRVPRDpojTRF937WMz0FWysYA,this app is really helpful. the explanation is easy to understand,5,0,3.100.23,2021-05-09 05:37:35,"Hi, Gracia. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0812-9898-9634 We would love to hear from you. Have a nice day! :)",2021-05-10 01:53:45
4,gp:AOqpTOG3lJzTmuLHiLmOnGdjojoMiu4FSzMBxjHLsR_ANccsNYCsXpdDjFwKrub7r-H0A-_41Yo2Ia_WoDAyql4,Earlene Bryna Wahyu Kusuma,https://play-lh.googleusercontent.com/a-/AOh14Gg_-qaUbGPbvVHEWQfS8eRggj2NtTTio7HwMBL8Pg,"REALLY GREAT APP, you guys should download it because it has almost ALL ANSWER for your math problem",5,0,3.100.15,2021-03-30 11:35:39,"Hi, Earlene. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0817-2352-357 We would love to hear from you. Have a nice day! :)",2021-03-30 12:04:09
5,gp:AOqpTOHNJGJI3DjNLhGLlKrIdnYLZhow8UllwLoBz9c4dN-9BVlBH9Ul4E-w4mdy4Lvktobms5LfK2K6a2BJumU,El Angghani,https://play-lh.googleusercontent.com/a-/AOh14GiU7JihQaBpJUJbzkRMJX9_v-yf1WuS89CV5mVf,"I really like this App-!! ( ◜‿◝ )♡ There is an explanation in each question, that makes me quickly understand it . . .(◕ᴗ◕✿) I recommend this app for those of you who have difficulty understanding the material during the Covid-19 period-!! (✯ᴗ✯)",5,40,3.100.11,2021-03-04 14:14:59,"Hi, Nursila. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0812-9898-9634 We would love to hear from you. Have a nice day! :)",2021-03-05 02:30:51
6,gp:AOqpTOH3ZzDPHW_Qbm-Uj7DicjNwqbzYowkvzVXGyQf3O7SU94I2Flyc_cTUBseIEPlI7N4mkiU4VeCSjtdFq98,evida nur c,https://play-lh.googleusercontent.com/a/AATXAJzSHtZDByHAo5ezz7rJPdQqowpkAh56EpUCj8_e=mo,"im freaking love this app, its so helpful unlike the other app hehe. the explanation is very clear even sometimes a question we were going to ask shows unknown, its ok i think its need to be improve but overall really good",5,24,3.100.11,2021-02-27 18:14:51,"Hi, Evida. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0812-9898-9634 We would love to hear from you. Have a nice day! :)",2021-03-01 02:38:33
7,gp:AOqpTOGKLZnzA5JJaRG4FRoxB9q7SuOB7oX7tBmQ-W8vpyjmPU-ONg8kWy5sQ6QnoXEPzDBt1QWojwHXsjW-v50,21. Rio maulana putra,https://play-lh.googleusercontent.com/a-/AOh14Giog0OrKKPKNlFag4PQHBxnrPciEhan8DNog9Mc6Q,"I just think this app so incredible. How you can find the answer from photos that we took. Isn't it called AI? Just, if you added ads from adsense app, we keep appreciate it more than you change your apps being paid app.",5,72,3.100.04,2021-01-05 15:44:12,"Hi, Rio. Thank you for your support and great suggestion. We are glad that you like to learn Math with CoLearn app. Yes, very close to AI, it is called Machine Learning 🚀 If you have any question or suggestion, please write to us at Whatsapp 0812-9898-9634. We would love to hear from you. Have a nice day! ❤️",2021-01-06 08:14:03
8,gp:AOqpTOG8BB2XQMEDWHwAVbExwYZjzJY2P5Enjw56CieLh7CmPmFgQMnypPxBOw0Nf4xlTZE1nCl_VDyLmzaa5UE,Christ GS,https://play-lh.googleusercontent.com/a-/AOh14GhVCCVJIcW2ZBoyVs5vx38TzQHdCsZwPfVONblNyA,"damn this app is so useful, every search that I made (clear photos) shows the results that I wanted. keep it up!",5,7,3.100.11,2021-02-28 08:15:33,"Hi, Christ. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0812-9898-9634 We would love to hear from you. Have a nice day! :)",2021-03-01 02:12:09
9,gp:AOqpTOEaq6UoXFyn8r-u8nNmAoyzMkAAD4CfLJySnaZcqDQGv9wtkjXxDdxJdihWesGexdKF8laCXfrWM6yViZs,Alfinsyah Suhendra,https://play-lh.googleusercontent.com/a-/AOh14Gg0GnJihri47LoPq2sORf8gr1GYkzthTZM0IcEb9bo,Very helpful for student who want to learn mathematics easily.,5,5,3.100.11,2021-02-24 01:23:18,"Hi, Alfinsyah. Thank you for your support. We are glad that you like to learn Math with CoLearn app. If you have any question or suggestion, please write to us at Whatsapp 0812-9898-9634 We would love to hear from you. Have a nice day! :)",2021-02-24 01:58:41
