,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOGvltm_pEdtRP-vWkI4Ww1Sk7dwX5O_NtufNLOvqDuJ06CsoMVRtt5M1j_5_rBBgkxpvk8zV64MtrEWwQ,Novi Oktaviani Pardosi,https://play-lh.googleusercontent.com/a-/AOh14Gif-Uj5B8wCuu50zzEutqlEP4EiJRuIfPWFOf84Ow,Aplikasinya sangat bermanfaat dalam prosea belajar mengajar. Dilengkapi dengan materi serta video pembelajaran yang sangat kreatif dan tidak membingungkan.,5,2,6.0.46,2021-05-24 05:14:36,,
1,gp:AOqpTOHkERUnC3IsQqS7RJLtJytuZs1u5kMbJ_bd36Md4cw_kc5-SDUd93ziYSLrvp75pJfb7Uq3gt-wTHvw5A,Haikal Haviz,https://play-lh.googleusercontent.com/a-/AOh14GiZPUwkK3lln8llkeqLImGSEyMrVNoBlJ_nzo0a_g,"Aplikasi Quipper memiliki fitur2 yang cukup lengkap dan tampilan navigasi yang mudah digunakan, konten2 video yang ada di dalamnya juga sangat berkualitas yang di bimbing oleh para tutor terbaik dan berpengalaman, quipper jga menyediakan paket berbayar yang terjangkau, Materi pelajaran disesuaikan dengan kurikulum yang berkembang di indonesia.",5,63,6.0.43,2021-03-22 14:27:45,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :)",2021-03-24 08:35:58
2,gp:AOqpTOECdI7Q_x2_SOOLc0RlUxLAl553ljmt8rG1bpOWcu7YSzLdoKAzk_bIYjehW1oW0Rpq-AyI6YPIopTUfA,Nabilah Nasywa'9G,https://play-lh.googleusercontent.com/a-/AOh14GhXPFkcydU_50dwWN7AKHrW_kUEKlw726vrKmxI,"Recommended, apk ini tampilannya gak memusingkan dan ribet, justru terlihat sangat simple dan sangat mudah di pahami. Pelajarannya bisa langsung log in ke otak😅ada cara super juga yang bikin otak aku lebih paham! Walaupun pelajarannya gak lengkap tapi sangat oke lah. tengkyu tim quipper💞",5,45,6.0.43,2021-03-21 09:55:22,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :)",2021-03-24 08:40:46
3,gp:AOqpTOE_Wx7ET6MUdHkqVtQWXg_r7467SZWLjlPrd32yZVeeL3dVNoBeWQdhWefoJFFARy2ZeiEg4XrJ94TBwQ,Cuties Style,https://play-lh.googleusercontent.com/a-/AOh14GgaaOo9QRji7hStFZ5t_662pVQyiFC5F8KPilnx,"Apk Quipper sangat membantu dalam memahami pelajaran dengan baik apalagi ada Solusi quippernya🌠, tpi terkadang didalam pembahasan ada yg tidak dimengerti:(, seandainya ada room tanya di pembahasan supaya bisa full mengerti. Terimakasih Quipper",4,4,6.0.43,2021-04-05 08:15:19,"Halo, untuk fitur tanya jawab kami menyediakan fitur Masterclass yah, yang infonya kamu bisa lihat lebih detail di website kami. :)",2021-04-15 03:12:13
4,gp:AOqpTOHNk8uzRw_VFfnp-n4WkPQDkblTUlrxXWOQ5lWUhK9UvWJlIudPV1REee-Av0Md00sH7NotoobQ7CcMmg,martabakmaniezzz,https://play-lh.googleusercontent.com/a/AATXAJwVBdfW5ZmaVXAfPZ1F4qnrAMtaSzFoVxj10LM-=mo,"Penjelasannya bagus, tutornya juga enak ngejelasinnya, aku suka banget pakai quipper, hanya saja kenapa pdf materinya gabisa diunduh ya? Tolong dong dikasi tau bagaimana cara mengatasinya. Kalo nyatat sambil nonton video kadang ketinggalan dan fokusnya pecah. Terimakasih^^",5,13,6.0.42,2021-03-28 12:50:57,"Halo, terima kasih untuk masukannya, masukan kamu akan menjadi pacuan kami untuk mengembangkan Quipper Video kedepannya. Mohon berkenan untuk update ke bintang 5 ya. :)",2021-03-24 08:48:48
5,gp:AOqpTOEngMQcXAaFekTWq7wMgPxxJvG6VKfRkf78mq5TQbeqDXxt9JO66jMz76B9tN0sI7K7xOjrlwutgTjruA,Monika Candra,https://play-lh.googleusercontent.com/a-/AOh14GhWJ4dqV3jtF91HCNUbSBw1TpufwASLEpgvsUfq4A,"Tolong dong quipper, saya lagi ngerjain soal atau tryout tiba tiba keluar sendiri dari aplikasi. padahal koneksi internet lancar, tapi setiap buka quipper selalu keluar sendiri nanti. tolong dong diperbaiki, lama lama saya jenuh kalau tetap kaya gini",1,11,6.0.43,2021-04-15 04:31:25,"Halo, terima kasih untuk masukannya, boleh tolong kirimkan masukan lebih detail ke email kami di info-id@quipper.com atau hubungi WA di 0811 9941 637.",2021-04-22 13:37:25
6,gp:AOqpTOF-hxZ_msiGHBxOlbN6bVt_kAiKCP5GcTTOoMdvFRaLjbnqVEL1uenRBWPszaMAkU3UZfeSuRWKOTLlCw,Maulana Gau,https://play-lh.googleusercontent.com/a/AATXAJym0aeTJFLkPfW8QwXDk8ngCuj8IEjgSGvUSwFg=mo,"Banyak bug. klo matematika, fisika, kimia ,Jawaban dan soalnya fail loaded",1,3,6.0.45,2021-05-11 01:54:25,"Halo, boleh tolong kirimkan email ke info-id@quipper.com dan infokan detail mengenai kendala yang kamu alami ya, agar dapat kami coba lakukan pengecekan lebih lanjut.",2021-05-20 04:56:07
7,gp:AOqpTOFEcXlmrKuH1WZHSX89BW83y7y2WQoNevCewqTPMPx5q98TUHwe-ED2lqMVvVyXVqeWITpRp2uot1tDNQ,Ulpa Diniyy,https://play-lh.googleusercontent.com/a-/AOh14GhehlA7UBHY5zdlzR0N9Ri5NBtX2oGcWM-ckzmp,"Aplikasinya kurang menarik, pembahasan nya lama banget gak langsung ke inti jadi butuh waktu lama buat bisa menguasai materi, tampilan nya kusam dan jadul. Aku belik paket quipper satu tahun intensif SMA + utbk tapi bentar aja pakai nya cuma 2 bulan nan itu pun cuma bukak yg tanya tutor aja. Begitu masa tanya tutorku habis aku langsung gapernah bukak. Saking tidak menarik nya",1,12,6.0.43,2021-03-29 07:37:30,"Halo, terima kasih untuk masukannya, boleh tolong kirimkan masukan lebih detail ke email kami di info-id@quipper.com atau hubungi WA di 0811 9941 637.",2021-04-02 06:48:31
8,gp:AOqpTOGqSXcSpeAz8vb-hAC4BWsYOIkaQfIsslGhucm5ag8DnDF5f87MQMgiZ9_3CozKlptB94vc5x-bkF3SJA,Aura Dhea Novianti,https://play-lh.googleusercontent.com/a-/AOh14Gi5aA6kKFRDvjZx1JCiqn3Q6OlL2KeT_aN_QBz-,"tolong pihak quipper, ini kenapa saat saya login tidak bisa. selalu tertulis ""TERJADI KENDALA"" saat login. saya mohon bantuannya 🙏 saya sudah beli paket utbk di quipper masa iya aplikasinya gabisa dipake. apa semua nya juga mengalami hal sama seperti saya? mohon untuk kejelasannya quipper 🙏",3,9,6.0.42,2021-03-09 17:53:53,"Halo, mohon maaf untuk ketidak nyamanannya, pastikan kamu menggunakan koneksi internet yang stabil untuk penggunaan Quipper Videonya, jika kendala masih berlanjut silakan kirimkan email ke info-id@quipper.com dengan info detail ya.",2021-03-18 09:06:38
9,gp:AOqpTOEhgM0XFqQq-rRth5ORJt-smmVgDj4eq7RIbxil_MIpiga8ZCPvaSNd09QNyCjZ5mk9VwCzcyJ_vMZ8LA,Arrahman Rahman,https://play-lh.googleusercontent.com/a/AATXAJwk7KilyamlgTiB4iMCHukZVPe_qVMSa01MiDo3=mo,"sangat membatu saya untuk belajar, walau pun kita sebagai pelajar harus memilih sesuai yang dibutuhkan dalam pelajaran yang dijelaskan di sekolah,karena pandemi ini tidak semua materi dijelaskan",5,0,6.0.43,2021-03-30 11:44:46,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :)",2021-04-15 03:19:14
