,Unnamed: 0,content,score
0,0,Aplikasinya sangat bermanfaat dalam prosea belajar mengajar. Dilengkapi dengan materi serta video pembelajaran yang sangat kreatif dan tidak membingungkan.,5
1,1,"Aplikasi Quipper memiliki fitur2 yang cukup lengkap dan tampilan navigasi yang mudah digunakan, konten2 video yang ada di dalamnya juga sangat berkualitas yang di bimbing oleh para tutor terbaik dan berpengalaman, quipper jga menyediakan paket berbayar yang terjangkau, Materi pelajaran disesuaikan dengan kurikulum yang berkembang di indonesia.",5
2,2,"Recommended, apk ini tampilannya gak memusingkan dan ribet, justru terlihat sangat simple dan sangat mudah di pahami. Pelajarannya bisa langsung log in ke otak😅ada cara super juga yang bikin otak aku lebih paham! Walaupun pelajarannya gak lengkap tapi sangat oke lah. tengkyu tim quipper💞",5
3,3,"Apk Quipper sangat membantu dalam memahami pelajaran dengan baik apalagi ada Solusi quippernya🌠, tpi terkadang didalam pembahasan ada yg tidak dimengerti:(, seandainya ada room tanya di pembahasan supaya bisa full mengerti. Terimakasih Quipper",4
4,4,"Penjelasannya bagus, tutornya juga enak ngejelasinnya, aku suka banget pakai quipper, hanya saja kenapa pdf materinya gabisa diunduh ya? Tolong dong dikasi tau bagaimana cara mengatasinya. Kalo nyatat sambil nonton video kadang ketinggalan dan fokusnya pecah. Terimakasih^^",5
5,5,"Tolong dong quipper, saya lagi ngerjain soal atau tryout tiba tiba keluar sendiri dari aplikasi. padahal koneksi internet lancar, tapi setiap buka quipper selalu keluar sendiri nanti. tolong dong diperbaiki, lama lama saya jenuh kalau tetap kaya gini",1
6,6,"Banyak bug. klo matematika, fisika, kimia ,Jawaban dan soalnya fail loaded",1
7,7,"Aplikasinya kurang menarik, pembahasan nya lama banget gak langsung ke inti jadi butuh waktu lama buat bisa menguasai materi, tampilan nya kusam dan jadul. Aku belik paket quipper satu tahun intensif SMA + utbk tapi bentar aja pakai nya cuma 2 bulan nan itu pun cuma bukak yg tanya tutor aja. Begitu masa tanya tutorku habis aku langsung gapernah bukak. Saking tidak menarik nya",1
8,8,"tolong pihak quipper, ini kenapa saat saya login tidak bisa. selalu tertulis ""TERJADI KENDALA"" saat login. saya mohon bantuannya 🙏 saya sudah beli paket utbk di quipper masa iya aplikasinya gabisa dipake. apa semua nya juga mengalami hal sama seperti saya? mohon untuk kejelasannya quipper 🙏",3
9,9,"sangat membatu saya untuk belajar, walau pun kita sebagai pelajar harus memilih sesuai yang dibutuhkan dalam pelajaran yang dijelaskan di sekolah,karena pandemi ini tidak semua materi dijelaskan",5
10,10,sangat membantu cocok untuk para pelajar video penjelasannya mudah dipahami dan sudah ada materinya yang males nulis tinggal di print selesai deh.... senang banget bisa belajar dengan Quipper Terima kasih Quipper. semoga kita semua dapat nilai yang bagus Aamiin....,5
11,11,Kenapa ya kak saya mau masuk ke quipper nya terus ngk bisa padahan nama pengguna sama pasword nya sama,3
12,12,Bisa perbaiki bug? ktika masuk aplikasi malah auto kluar (out). Saya g mau dengar alasan hrus updrage app pdhal uda updrage app yg terbaru atau malah nyuruh alasan klasik ada mslh dengn jringan saya (kmi) pdhl jaringan baik2 saja bhkn ad yg pke Wi-Fi. Intinya msalahnya ada di bug. Dia sering kluar tiba2 saat milih mapel (scroll). Pdahl uda bersihin cache dan tab layer app lain uda dihilangkan. Tolong yak!✨ Klo ngsi Alasan maslah jaringan auto 1 bintang,3
13,13,Best teacher Ferry Isnaeni. Tolong video matematika pak ferry yang menjelaskan diperbanyak. Sangat Mudah dimengerti dan jelas. Tidak seperti guru lainnya. Satu satunya alasan saya berlangganan quipper karna enak pengajaran pak ferry. Edit: mantap dibalas developernya. Dah bintang 5 tuh. Kelas 12 mtk kurtilas revisi tolong diisi kak ferry. Supaya bulan juni saya lanjut langganan lagi.,5
14,14,"Jadi gini Pak/Bu/Mas/Mbak, materi sejarah soal verifikasi kepake banget, soalnya banyak materi sejarah yang nggak nyambung sama data2 yang ditemukan di luar, ditambah pengejaan kata yang saya rasa kurang tepat di beberapa bahasa yang ada dalam materi. UDAH ITU AJA DULU YANG PENTING KEBACA",3
15,15,"Apk nya bagus banget, tapi ada dari beberapa video pembahasan soal yang penjelasannya agak sedikit beda sama yang dicari. Tapi tetap good banget apk nya.",5
16,16,Aplikasi ini sangat membantu saya untuk mengerjakan tugas tugas dari guru saya. Terima kasih Quipper,5
17,17,Percuma make quipper Video yg udah di download gk bisa di tonton,1
18,18,KEREN!!!!! sangat membantu dalam belajar dan sangat mudah memahami materi karena ada video pembahasan nya juga jadi ga perlu bingung,5
19,19,"Update perbaikan bug dan peningkatan performa itu salah besar -Keluar dari materi terjadi blank -Sebagian pdf tak bisa di unduh -Kadang2 terjadi hang -menu2 yg lbih berat dibuka, sebelumnya mulus. Segera perbaiki atau Quipper akan ditinggalkan oleh pelanggan",2
20,20,"Tiap buka soal terus aja Loading image Padahal udah di update truss Sama keluar sendiri, masalah jaringan dan kuota lancar lancar aja Kan jadi numpuk ujungnya kalo soal dibuka gak bisa kelihatan seluruhnya Kapan selesainya",1
21,21,"Pas udah ngerjain tugas sering keluar sendiri, terus pas saat ngerjain soal... Tulisan ga bisa memuat... Cuma gambar gunung doang... Malah tugas ku banyak lagi, malah bermasalah nih quipper",1
22,22,"Kenapa ya sejak aku update selalu ngk bisa kebuka tgsnya, padahal materi sama pesannya baik baik aja karna ini aku ngk bisa kerjain tugas, tolong dong ya😊, ngk marah kok cuma mau minta tolong 😭",3
23,23,"Iklannya berlebihan, kakak² nya bilang mau bahas tentang solusi buat yg masih galau nentuin jalan setelah lulus SMP, tapi yg di bahas malah cmn ngendorse ni aplikasi doang:(",1
24,24,"Kenapa saat memutar video selalu aja ada tulisan tidak ada internet di bawahnya, padahal internet bagus dan stabil, tolong di perbaiki, ini sangat mengganggu sekali",3
25,25,Thanks aplikasi ini sangat membantu saya 🙂,5
26,26,"Pas lagi ngerjain pasti ada tulisan ""terputus dari sambung"" Abis itu ""tersambung ke jaringan"" Udh itu ngulaaaaaaaaaang terus tulisan itu padahal internet baik baik aja",4
27,27,"bagus sii cukup bagus cuman kok aku jawab soal tiba tiba pembahasannya ada (-)nya jadi salah soal sama pembahasan beda, kan jadi nyeselll",3
28,28,"Masih sering mengalami gangguan server, WiFi bar saya sudah full tapi sering tertulis ""tidak ada koneksi internet"". Overall bagus lah",4
29,29,"quiper ini bagi saya sangat membantu saya untuk belajar lebih praktis ,lebih mudah di pahami dan di mengertii ,tetapi mengapa tiba tiba dari bulan desember kemaren quiper tidak bisa berfungsi dan sulit banget untuk di buka.",5
30,30,Apk nya sering keluar keluar sendiirii gak enak bgt buat ngerjain soal tb tiba keluar.. Saya merasa dirugikan. Jd males buat buka quipper padahal dah bayaar.,1
31,31,aplikasi ini sangat membantu sekali terutama untuk para pelajar yang sulit memahami materi dan cara penjelasan materinya pun sangat bagus😍😍,5
32,32,"kenapa setelah mengerjakan tugas trus pencet ""kembali ke materi"" suka keluar sendiri dari aplikasi?",2
33,33,"kenapa saat saya mengerjakan soal tidak muncul gambarnya, hal itu membuat saya bingung dalam mengerjakan soal dan menjawabnya😢",5
34,34,Kenapa tidak ada bunyi notif tugas masuk? Kasih tau gimana caranya. Aku nyarinya ga nemu,4
35,35,server ga lancar !!!!!!!!!!!!!!!!!!!!!! WiFi kenceng ttep ae buffering mulu pas buka tugas!!!!!!!!,1
36,36,Kurang berguna karena harus pakai paket belajar gak ada yang gratis lagi jadi kurang efektif.. kecewa.. 😭😭,2
37,37,"Min kenapa saya udah berhari2 buka soal yg pake gambar masih loading terus padahal koneksi internet saya lancar, tolong ditanggapi secepatnya....",2
38,38,aplikasi bagus karena penjelasan tidak terlalu rumit serta mempunyai cara yg mudah untuk menyelesaikan pertanyaan,4
39,39,"Keseringan update kyknya:) terus kalo ada diagram sering loading gambar gunung pdhl mau buru"" ngerjain :')",3
40,40,Gue udh pnya akun nah karna beralih ke yg lain gua logout dan mau msk lg lupa pass nya tp g bisa masuk jg wkwkw sumpah ribet bngt. Mending pake punya tetangga maaf,1
41,41,aplikasi pembelajaran yang selalu update soal jadi bisa. beradaptasi dengan materi meskipun lagi pandemi,5
42,42,"UI Aplikasinya bikin bingung gk sebagus Ruangguru atau Zenius, Seharusnya SMA dikategorikan berdasarkan jurusan Contoh saya jurusan ipa materinya ipa juga jangan ada materi ips-nya.... 😐",3
43,43,kadang lemot pdhl udah pake kuota,4
44,44,Banyak bug nya.. banyak gambar yang gagal di load di apk nya padahal via web aman aman aja,1
45,45,"Permisi kak,, apk nya sangat bagus dan bermanfaat. Tapi mengapa akun quipper saya gagal memuat foto di soal latihan? Saya jadi tidak bisa mengerjakan latihan soal dari quipper. Tolong dibenahi ya ka. Terimakasih",4
46,46,Saya di beri soal guru saya saya jawab ini salah jawab itu salah semua jawaban sudah saya tekan tapi beberapa saat saya jawab ada yang benaar mau anda apa!!😖😖😠,2
47,47,"wah baru nyobain quipper, asik banget! bagus deh pokoknya ga kalah sama platform lain",5
48,48,"keren, bank soal yang menarik mengasah pikiranku. semoga usahaku berhasil, amin",5
49,49,Heh gimana sih aku berulang kali mau masuk tapi tidak bisa coba perbaiki deh developer,2
50,50,ada beberapa soal yang jawabannya salah. Aplikasi sering crash keluar sendiri,3
51,51,"thankyou quipper, app recomended buat kalian yg males baca apalagi di masa pandemi ini, berlangganan yuk di quipper˙˚ʚ(´◡`)ɞ˚˙",5
52,52,kenapa ya setelah di upgrade tugas tugas sebelumnya jadi tidak muncul,2
53,53,saya menyukai aplikasi ini karena membantu saya dalam pemahaman materi,5
54,54,Saya sangat puas dengan topik yg di ajarkan....dan wawasan saya menjadi lebih luas,4
55,55,"quipper punya saya tidak bisa download materi, ini gimana?",3
56,56,Aplikasi ini sangat membantu,5
57,57,Mengumpulkan tugas/soal/mengerjakan kembali sangat lemot,3
58,58,"sangat jelas dan menyenangkan, jadi mudah untuk di pahami✨🥰",5
59,59,Sangat bagus dan hanya saja tidak ada di App Store IOS,4
60,60,saya sudah login lewat Facebook tapi tetap tidak bisa,1
61,61,"aplikasi ini sangat bagus,banyak materi-materi nya",5
62,62,terima kasih sudah membantu saya menghadapi utbk,5
63,63,Saya kasih bintang 5 karena Aplikasi nya bagus,5
64,64,sangat bagus untuk yang bingung belajar daring,5
65,65,Aplikasi ini Bagus banget deh pokoknya,5
66,66,sangat membantu dalam memahami materi pelajaran,2
67,67,Fitur download vidio kurang memuaskan,1
68,68,Apk bangke masa gw mau ngirim tugas kagak bisa dah dimarahin guru dihh apk bangsatt,1
69,69,Cara ngakses tryout-nya gimana kak?,1
70,70,cuman mau bilang makasih quipper,5
71,71,Aplikasi nya gk bgus apalagi masterclass nya sebagian gak berguna KK tutor😒🙄,1
72,72,solusi quippernya sangat membantu,5
73,73,Woy jan keseringan update napa masa baru diinstal langsung update,1
74,74,lumayan enaklah,4
75,75,"Menyebalkan, sangat menyebalkan",1
76,76,"mengapa tiba-tiba tidak bisa di pakai?😭😭 sbelumnya memang berjalan dg baik dari bulan November ,tpi tdi pagi video nya tidak bisa diputar,saya sangat membutuhkan penjelasan materi tersebut,padahal masa langganan saya masih lama, internet juga lancar apk nya juga udh di update..mengapaaaaa??😭😭😭😭",3
77,77,seru belajar dengan quipper,5
78,78,Sangat cocok untuk belajar,5
79,79,bisa belajar dengan baik,5
