,content
0,"Dulu kalo gak salah rating ruangguru di playstore android 4.7 , sekarang udh menjadi 4.6 mungkin ini gara2 ada yang ratingnya bintang 1, 2 , ataupun 3. Ya semoga aja ruangguru mendapatkan rating yang cukup luyaman juga lah ya. Kalo diupdate terus. Btw beberapa bulan lagi ruangguru merayakan ulang tahun ke 7. Tetap semangat ya ruangguru"
1,"App nya bagus and funny, vdeo yg beranimasi mmbuat saya senang dan bisa menjawab prtanyaan nya. Oh ya, sekedar saran, tolong misalkn saya belajar ips, bab ny ini itu misalnya, jgn yg konsep kilat aja yg ada disana kk, saya belajr bhs inggris ttg advertisement, tapi di advertisement ny tu, hanya konsep kilat doang yg ada, tolong vdeo2 yg kek biasanya panjang tu dimasukin jga kk, jgn di bab ny tu cuma ada konsep kilat doang biar lebih jelas aja kk"
2,"Saya pengguna ruang guru ingin menyampaikan kalau aplikasi ini cocok buat anak anak seperti kita utk belajar.cuma yg krng nya,tolong lah fitur fitur video pembelajarannya yang free itu diperbanyak biar gak bingung nantinya saat ingin mencari jawaban.itu aja yang ingin kusampaikan😀👍"
3,Pelayanan dalam memberikan informasi sangat mengesankan.. saya sudah pakai Ruangguru sudah dari kelas 12 SMA tapi baru di rating sekarang. Ee apa lagi ya..
4,Aplikasinya bagus. Cocok banget untuk belajar. Ada banyak pelajaran dan menghibur. Bisa Tanya ke robo guru dan bisa ganti ganti avatar.
5,Aplikasi nya bagus sih lumayan buat nambah ilmu dari pada main game trus kadang kesel juga hehe dan juga belajar di ruangguru gak ribet sih enak gitu cara ngajar nya jadi kalo dari guru ada yang blom paham bisa lewat sini deh lengkap juga lagi pelajaran nya the best lah
6,"Aplikasi ruangguru sangatlah membantu sekolah, dengan memakai rg nilai saya banyak yg meningkat serta membantu saya untuk mengikuti seleksi, doain ya semoga saya menang, aminn🙏"
7,"Baguss sii, kak tolong tambahin muatan lokal sm agama yng lebih lengkap :< tolong juga tambahkan mode gelap yaa!! Kya lebih aesthentic gtu hehe... :>♡ Oiyaa kak, tolong cari tahu yng suka nge report akun"" di rg kak :) ga nyaman gtu, klo misalnya tiba"" ke banned :( sama tolong banned akun"" yng menyebarkan hal yng tidak baik, seperti porno dll Tq udh nemenin hmpir setahun dsini :D pgn smpe lvel 100, cma syng lama bgt ""< bru lvel 65🦦"
8,"Belajar super lengkap, super canggih, super murah! Ruangguru merupakan bimbingan belajar online di Indonesia dengan solusi terlengkap hanya dalam satu aplikasi! Mulai dari video belajar, latihan soal, les privat, tryout, semua dapat diakses melalui smartphone. Kontennya tersedia untuk berbagai jenjang mulai dari SD, SMP hingga SMA sesuai dengan kurikulum nasional dan dirancang khusus oleh pengajar terbaik dan berpengalaman. - ruangbelajar Bimbel online untuk belajar di mana saja dan kapan sa"
9,"Ruangguru itu aplikasi yang bagus banget🥰 Aku idah langganan beberapa kali tapi kenapa ya setiap tahunnya harganya selalu naik dari langganan 1 tahun 465k => 540k => 599k, sedih bangetttttt harganya makin mahal😭 Pliss dong jangan naik terusssss"
10,Ruang guru sih hebat👍tapi ya jangan cahat terus di nomer ayah ku tadi aku di marahin ok sama papah dan mamah ngak boleh berlaganan jangan gitu ya ruang guru saya ngak mau kalo gini terus oke
11,"Hai aku mau berterimakasih karna video² pembelajaran yang aku lihat fi ruang guru sangat memuaskan dan dapat di pahami, terimakasih ruang guru and sukses🥰😍"
12,"aplikasi yg bagus, download sekarang dan belajarlah dengan paket belajar yg sangat efektif di ruang guru, sekarang!"
13,Aplikasi ini bagus banget walaupun baru download... Kakak aku mau tanya kalok belajar disini bayar apa gratis ya ?? Aku soalnya pengguna baru
14,Aplikasi nya bagus sekali.. membantu memahami ulang pembelajaran yang sebelumnya tidak mengerti.. terima kasih ruang guru ❤
15,Assalamualaikum Hi semua nama saya Mallory Saya senang belajar di ruangguru Saya kasih bintang 5 ya Aplikasi bagus loh Jangan lupa di download
16,asalammualaikum warohmatuloh hiwabarokatu halo nama saya devi anggreani saya menggunakan ruang guru ini semenjak saya gunakan aplikasi ini saya tadi nya peringkat 6 jadi rengking 4 terimakasih atas ruang guru asalaammualaikum warohmatuloh hiwabarokatu 🙏🙏🙏🙏🙏
17,"Bagus banget daripada yang lain nggak ada iklan, dapet hewan, sama tolong ya tambahin yang max 1080 ya... 🙏🙏🙏🙏🙏🙏"
18,"Sudah bagus,gak ada iklan, cuma mau minta tolong resolusi videonya max 1080p yaa... Terimakasih"
19,Saya sangat senang memakai aplikasi ini membuat kita menjadi lebih mudah untuk belajar dengan pelajarannya yang sangat susah
20,Terimakasih ruang guru atas respon cepat dalam membantu kami untuk melakukan proses perpanjang langganan....
21,"Assalamualaikum wr wb. Perkenalkan nama saya aminullah,saya suka ruangguru karna fitur pembelajaranya sangat mudah dimengerti terutama pembelajaran IPA, saya suka sekali cara penyampaiannya yang mudah dimengerti + seru. Sekian dari pendapat saya,terimakasih. Wassalamualaikum wr wb."
22,Hai aku namanya risa dan aku waktu itu gak sering belajar an semenjak aku donlod ruang guru aku semangat belajar😊😋
23,"Aku suka banget belajar disini...aku udh berlangganan di ruang guru dari aku kls 3 smp..dan rangking ku jadi rangking 1...sebelumnya belom pernah dapet posisi rangking pertama..tapi setelah join ruang guru jadi bisa...pokoknya aku cocok banget, dan aku berlangganan lagi di smk :)"
