,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOF_cneHpanf3m_RLxhCMmwykapgI14IM85RgIrUJb4M4VjrugtvWRhHx88DB-c3EPMG1yZ8oEQrgdTEypE,Nayla Marinlee,https://play-lh.googleusercontent.com/a-/AOh14GirSlXejSgCnj6OJqfghds6lUAZAVtTPVIjetgycQ,"It's a very good app for studying. I often have issues with learning math at school and ruangguru literally helped sooo much. There are some teachers who aren't compatible in teaching every children, but ruangguru helped alot! The staffs who contact me are always so nice and understanding :) 5 stars for ruangguru!!",5,4,6.15.0,2021-05-20 13:57:24,"Hello Nayla, thank you for giving us 5 stars. We are really happy for your positive feedback after using Ruangguru. Hopefully Ruangguru can help you to achieve your goals. Please follow our Instagram @ruangguru to get more update information. Cheers 😊 - Addi",2021-05-20 14:00:13
1,gp:AOqpTOF8-epFHzhFSy_Dm3zKwG9C2psI5ENMIYAX2vjwZVA5w6bn_T0yeSr8o3aUERE7JqSGm-KiX4kvCL74DgA,Meysha Firly,https://play-lh.googleusercontent.com/a-/AOh14GihUCDhpmtJcuVHIgpIHsJ5CcRPiejnbIRjuEZMoHg,"It's such a great app! I can learn easily, anytime and anywhere I want. The videos are very interesting and they help me to understand the topics well. This app has a lot of exercise too. So, I can prepare more when I have exams and get better scores. Last year, I got the 1st place in my clas, and also in my parallel class. There are no words I can give except Thanks, thank you all RuangGuru team!!!",5,350,6.12.0,2021-03-30 10:05:49,"Hello Meysha, thank you for giving us 5 stars and using Ruangguru. We hope Ruangguru can always be your study partner. Do your best! Please follow Ruangguru Instagram for more update information about us. Cheers, Gaby 😊",2021-01-02 06:26:27
2,gp:AOqpTOH9tSxEVWBAEsaLrUDltWXbOyrwJOczSvQxssVTWBXuXwNjGb21IPkSRcrUSBlFW1Ll6Jg8m56XbrOxBWs,M Fatah,https://play-lh.googleusercontent.com/a-/AOh14GgRG6I_A9hW21lFQj1YyuP7kb_pS8O705r6dAbx6w,"Dear Ruangguru Team, this application is good and the readings are good just updating the avatar.",5,1,6.10.0,2021-03-09 06:01:23,"Hello Fatah, thank you for giving us 5 stars. We are really happy for your positive feedback after using Ruangguru. Hopefully Ruangguru can help you to achieve your goals. Please follow our Instagram @ruangguru to get more update information. Cheers 😊 - Addi",2021-04-19 08:50:34
3,gp:AOqpTOHR8j8hUcpT3yKKYhwlDY3YOjYMHaWHoX-5_SQEyzmM5dbGTzK1GVRceBqoNsaSZNJ8-gUR-8g9gK0qsZM,Dianti Wulandari,https://play-lh.googleusercontent.com/a/AATXAJyqvUlPGTd7ftiu7tTUtwwDAyQLYy-mPWSLNkRh=mo,"I love the interface, keep it up 😄",5,0,6.15.0,2021-05-22 16:48:44,"Hello Dianti, thank you for giving us 5 stars. We are really happy for your positive feedback after using Ruangguru. Hopefully Ruangguru can help you to achieve your goals. Please follow our Instagram @ruangguru to get more update information. Cheers, 😊 - Abdul",2021-05-23 00:14:24
4,gp:AOqpTOHw8cz--b40BV46qqAROY6iox9UuUOFjLc1LvTbHVZgDlsxD5bxLzzIYn8_bXeICAuW_fDa2PFxtxpFVKY,Davinca Putri,https://play-lh.googleusercontent.com/a-/AOh14GheFke_uxveeEjEiAY0-lH2KBKYZ7ZDFLloeywK,"In the past, I was never able to get in the top 10. After studying in the Ruang Guru, thank God I managed to get 3rd place last semester. Hopefully I will continue to be enthusiastic about learning to improve my performance together in the Ruang Guru.",5,0,6.12.1,2021-04-07 01:05:05,"Hi, Davinca! Thank you for your honest feedback. By using Ruangguru app, your learning will be more helpful and exciting, so you can achieve your goals. Stay healthy and good luck! Don't forget to follow Ruangguru's Instagram account for current updates. Cheers, Fery 😊",2021-04-07 02:33:38
5,gp:AOqpTOHoXrfLNzga4xLfXP7loN10kMXKpkxboElvDyBiQ68pGxMaNq_mxiltcKXrZCRBZwyAVqzEh0HdNIaLLK8,Arsyan Azhima,https://play-lh.googleusercontent.com/a-/AOh14GgVDGurzz6SJZIWX0MdQSFy75LOvTV5itFjVfAKtA,"This app is literally school but more detailed. Every lesson you learn, there is a big chance of probability that you will understand within the first view of the video. It's basically step by step learning so that beginners can also learn their lessons slow and steady until they can master it fully fledged. Big appreciation for this app and I definitely Recommend this app to students, including they who are closely approaching to the Final Semesters.",5,83,6.8.1,2021-02-04 10:12:19,"Hi Arsyan! Thank you for your honest feedback. We are very happy if you are helped by Ruangguru Application. Let's continue to access its features. Hopefully features in the Ruangguru Application can help you learning to get the best achievement. Don't forget to follow our Instagram @ruangguru to get more update information. Cheers, Rizky 😊",2021-02-04 10:36:49
6,gp:AOqpTOHB87yM-Rh6grEDgRaYMlbqCgbW3tpacIMkzOskDhbxuBWvxS_GoTPzmQv8lHmz_qtrH1AecyyAHsC6E5E,Fabianus Gabriela,https://play-lh.googleusercontent.com/a/AATXAJx-zjtMBOV-0sZ-TmvT0c1vL1VYiWROP5r7v1sr=mo,There is no video quality settings in the iOS App and the Android App has more features than the iOS App. RuangGuru account: Fabianz A,5,0,6.13.2,2021-04-24 13:31:46,"Hi Fabianus. Thank you for giving us 5 stars. Hopefully features in the Ruangguru Application can help anyone. We will always try to provide the best facilities, innovations and services to support the education of Indonesian students. Please follow our Instagram @ruangguru to get more update information. Cheers 😊 - Addi",2021-04-25 07:23:52
7,gp:AOqpTOH_HKV-h3h0sizCVYGRVFYpQORgc__ODh2kh3dtBpHhQNwE0E1Rn-H3y9qEQQIaYt1hjBQG8vngwhvYu4w,The Nostalgic Gamer,https://play-lh.googleusercontent.com/a-/AOh14GjrGrkLZy191BA-jb2IV7vXl0KQi5WWJ_O7BwA,"This app is more educational than my school, it comes all of the subject's and The tutors have explained it in detail. With this useful application. Students will achieve their dreams with Ruangguru. Thank you, Ruangguru! You guys did the perfect thing! We hope that the Ruangguru team will be able to make the students achieve their dreams.",5,86,6.9.0,2021-02-15 07:13:33,"Hello, thank you for giving us 5 stars and using Ruangguru for your study. Hopefully Ruangguru can help you to achieve your goals and dreams. Please follow our Instagram @ruangguru to get more update information about us. Cheers, Gaby 😊",2021-02-15 07:20:17
8,gp:AOqpTOGK83uu3wUBbUxmsBVlITSAku2lZ_VOYX4UYRDT-2YpsKJVwDVY9DfYH1bgaCO3QiY2hmERrNuB8EdoL8o,Zahra,https://play-lh.googleusercontent.com/a-/AOh14Gilsz-L09n9tmknXvzmvMyzFVrrjD-lPYbzB_KnpA,This app is making me smarter and interseting i love this app thank you ruang guru for making this intersting app,5,0,6.12.1,2021-04-18 23:17:16,"Hi, Zahra! We are so grateful for your 5-star review. Thank you so much for sharing your experience with us. Rungguru always trying to help any students to learning and get the best achievement and always trying to improve the quality of contents and services. Please, follow Ruangguru on Instagram @ruanguru for more update information. - Ratri 😊",2021-04-19 00:31:08
9,gp:AOqpTOGIjhXLLl-2UajHti4Kqv4x-vmS5qtnyIi5YP0xceX3_9TwfmJLpcWb5lh_icdSpaaoIi8cLv3iUkMhqCk,Clarissa,https://play-lh.googleusercontent.com/a-/AOh14GiYX6klFeivPlosmlZ9i4EiwBD-AL2ZUGBgiqZOwg,"RuangGuru is one of the best app that i use to study. Many features that really help me such as live teaching, videos, quizzes and many more ! i do love how the interface looks but i think it would be better if there is a Dark Mode ☺️ but personally, its all great 👍",5,81,6.5.2,2021-01-11 18:13:09,"Hei, Clarissa! Thank you for your honest feedback. We are very happy if you are helped by Ruangguru App. Let's continue to access its features. Hopefully features in the Ruangguru App can help you learning to get the best achievement. Keep support us and good luck! -Fery 😊",2021-01-12 01:14:55
