,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOEtqI7g64vXBU692u7siWR69v2NrjOv-XfVK0p2uZO72p6pjAd4Prx1-55WIP8PYYOM4j47wF91ua95xfw,Aisya Mufidah Najwa,https://play-lh.googleusercontent.com/a-/AOh14GhUA94zMMxgD-hb9Bs1lGAPYnEQgEaZK03oB4kVbQ,"Mudah di pahami. Yang njelasin langsung ke inti, ga bertele tele dan pake bahasa informal, seolah olah udh akrab gitu jadi enak. Dan ada simak simak kampus sama utbk gitu jadi mau fokus belajar apa jadi gampangg. Live class nya juga asik. Saran ada mode gelap dong hehe",5,7,2.4.0,2021-05-23 11:04:06,,
1,gp:AOqpTOHK2IVRBfmA8CgN-kIfm_M3rj23zrXI6zYKqbNUd9g_VtNYGXkcpHntDt7hdMw5cYik_z5lJqYdaPA13Do,Anjar Widyawati,https://play-lh.googleusercontent.com/a-/AOh14Gif77M7JWhi-r6_dbcg9UGp8C20IjNPOijksP3frQ,"Zenius aplikasi belajar online terkeren diantara aplikasi lainnya, Zenius mampu memberikan yang terbaik untuk para penggunanya terutama untuk pelajar. Materinya bagus banget, tentornya juga asik, cara menjelaskan juga mudah dipahami. Pokoknya bagus banget 💯 💯 💯",5,98,2.4.0,2021-05-11 06:10:04,,
2,gp:AOqpTOHSAo-jMHuCsqF9vW1jF0CYOgORAAk4IQhDkXarQx8b_NnQk16sa_PVn8BLWwkV-NA23l0mcg0e4c8a5xg,Kiki Kamaliah,https://play-lh.googleusercontent.com/a/AATXAJy16cyQbZOHUqvSNowl40ty2MsbsvievTAwll3C=mo,"Penjelasan materi di zenius cukup membantu saya untuk belajar dari konsep/dasar. Saya jadi lebih inget rumus karena tau dari mana asalnya. Saran aja sih, semoga video-video zenius kedepannya (terutama yang versi animasi dan video tutor) tersedia untuk berbagai resolusi, karena ini akan sangat membantu saya yang sinyalnya kurang memadai. Btw, terima kasih zenius!",5,42,2.4.0,2021-05-23 04:17:46,"Halo, terimakasih atas kritik dan saran dari kamu. Akan kami sampaikan ke team Zenius untuk dijadikan masukan dan perbaikan. Semoga Zenius bisa lebih baik lagi ke depannya. Yuk dukung zenius agar lebih semangat dalam menemani kamu belajar dengan merubah rating penilaian kamu.",2021-05-23 04:12:23
3,gp:AOqpTOHOgGSzQupD-XB_QuF70Hmd1MUM6pz9oS4q-nzc5brMEz-zZDPPXwH6BOrBC6zo1TyetFtO6HRqilNHnnc,Yuni Nurul Huda,https://play-lh.googleusercontent.com/a/AATXAJzJLZnCefSDWioVnh4qvQEyF4LRIXUWZqZUZsvG=mo,"Bagus banget, kalian yang susah ngerti pelajaran disekolah wajib download ini sih🥺❤️ Aku tau aplikasi zenius ini dari bang Jerome Polin, trus iseng coba download, ternyata bagus, aku langsung paham sama pelajaran nya (terutama Matematika) TERIMA KASIH ZENIUS🥺❤️",5,13,2.4.0,2021-05-09 12:57:50,,
4,gp:AOqpTOHFshd8va34P8YMRvW07vT4mq0wZuoQq6ps_CGdOBjsw5D3dhCGPvbBDAXeoVoeV8CLtvQHPTcAquicGlY,Amelia Tvani,https://play-lh.googleusercontent.com/a/AATXAJx9GY0wlGnkVk1iA7Twk9Jm7MWlZx2WSqIVFZaW=mo,"Video pembelajaranya udah bagus banget, tapi loadingnya lama banget tiap mau ganti ke video selanjutnya atau mau isi pertanyaan lama banget sumpah padahal jaringan aku bagus"" aja, tolong diperbaiki pliiiiss:""(",5,23,2.4.0,2021-05-23 16:48:47,"Halo App Follow, terimakasih atas kritik dan saran dari kamu. Akan kami sampaikan ke team Zenius untuk dijadikan masukan dan perbaikan. Semoga Zenius bisa lebih baik lagi ke depannya. Yuk dukung zenius agar lebih semangat dalam menemani kamu belajar dengan merubah rating penilaian kamu.",2021-04-18 01:06:38
5,gp:AOqpTOHsXLlWdpuV1Jw_20lc3u2AsRrrGS13G43159jzBGMb1wVOxa4ddXr98iFX5HQ-IKiWS-S2hIN6rEPvEgk,Regita Cahyani,https://play-lh.googleusercontent.com/a-/AOh14GjwDv-lZTELIjGW-IC8miLKyhfPIks04bXmWF6Jng,Zenius itu emang pling keren dan mantap banget sih buat aku. Apalagi buat belajar utbk. Aku juga belajar KSN di Zenius dong. Doain supaya nanti lancar dan diberi hasil yg terbaik yah🤩🤩🤩🤩,5,0,2.4.0,2021-05-17 22:47:15,,
6,gp:AOqpTOHmVZd8KCaQZxamNa7WhrsmkyLe_u-xHFi0FQLQcN84AcLF8iZxuy7yw0Asxu-OWncH-1hs08QVheVyIk8,Nurfida Luqyanah,https://play-lh.googleusercontent.com/a-/AOh14GgaEjx0_6suAFZx4nvYgfA_OJi5zt-FXQacVDIHlA,"Di zenius cara jelasin konsepnya jelas banget, teachernya juga ngajarin kita kalau kenapa rumus nya harus kek gitu ( bukan cuma hafalan doank) jadi cepet paham apalagi tentang fisika sama matematika. The best deh❤️❤️❤️",5,11,2.4.0,2021-05-17 02:57:50,,
7,gp:AOqpTOHYMQH8O6AnU_67diVRw0pMgOIMu56aXGHXqvDGWYlDQHAwxktVhGzS5aSNTtTiVYWCi1e0_2GObp0iR78,Daniel Situngkir,https://play-lh.googleusercontent.com/a-/AOh14GjGaWS6ez3VayIQVx5q0utB4eslTLG8AzrHFHUUQQ,Terimakasih telah merespon ulasan saya sebelumnya dan aplikasinya sudah menjadi lebih baik. Terimakasih zenius sudah menjadi aplikasi belajar paling bikin kecanduan wkwkwk,5,4,2.4.0,2021-05-14 16:08:24,,
8,gp:AOqpTOFzYAK6oDHL0If9XusAHMPji-mEKV4dodUIdDmL0Vk8jjDiDT7fCyAg4zgJYGJZuan3jousJtMUa_9p1J8,Rara Sonia,https://play-lh.googleusercontent.com/a/AATXAJzT5K4jexjCCFOejghvv_My7-zshTevzH1urJ88=mo,Zenius kamu udah punya ciri khas sendiri DULU tapi sekarang kenapa jadi beda dan aneh gini. JUJUR SAYA LEBIH SUKA TAMPILAN YANG DULU. Tolong perbaiki lagi yaaa...,5,0,2.4.0,2021-05-22 19:36:58,"Halo, terimakasih atas kritik dan saran dari kamu. Akan kami sampaikan ke team Zenius untuk dijadikan masukan dan perbaikan. Semoga Zenius bisa lebih baik lagi ke depannya. Yuk dukung zenius agar lebih semangat dalam menemani kamu belajar dengan merubah rating penilaian kamu.",2021-05-23 01:01:51
9,gp:AOqpTOHS-lA2Tw5KbMXX6oZcoZoh-UDc8_1uGQIpSrZ8KyELfmVRtnbFpN-40d8n5YUFNEU8DVBT2GEWyJEDscg,Graciatri Rappun,https://play-lh.googleusercontent.com/a-/AOh14GjDWznSA9529m9X0rfNkSKVef8Amjpkw6qoCnSzmQ,"app belajar yang seru bgt dan bermanfaat bersifat interaktif dan pokoknya bagus deh, saran aku buat pelajar download app ini untuk bantu referensi belajar dan latihan",5,0,2.4.0,2021-05-18 11:12:47,,
